race,cancer,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2002_2012
White,All,654884.9390700001,624257.06616,619838.8190459999,612617.20834,625891.75731,634616.4868119999,619807.232829,611949.637832,588825.2494280001,584168.92985,553328.049981,6712732.28857
Black,All,124720.79289599998,122844.31731500001,123111.90004400001,121102.49367299999,123437.460379,127097.38133599999,125076.178073,128144.6811,122507.67991600001,121461.196171,117603.01457599999,1353234.3886399998
AI,All,4320.133379,4739.487740999999,4945.269783999999,4983.207111999999,5044.750344,4909.929236,5119.348765,5188.942394999999,5371.235163,5255.481403,5044.026148,54698.311888000004
API,All,24702.826041,24431.912835,25280.29534,25553.657171000003,26182.000441999997,27695.68394,27988.681561,28202.134638,28402.061751,29134.77435,28307.786766,295255.7679
White,Lung,159631.125405,158709.4236,156675.562508,157679.85689,158511.284131,158110.99234,155984.415318,154942.52012200002,148926.586458,144992.45743,142986.521664,1692775.968422
Black,Lung,28726.550664,29650.759016,29247.792490000003,29067.74094,29374.687859,28882.091112000002,29144.76089,29850.466650000002,28654.052588000002,27385.376976999996,27724.726863999997,316496.59550099995
AI,Lung,1072.827785,1278.436246,1436.940388,1364.8727039999999,1353.379661,1305.995218,1398.359079,1350.03609,1380.1980569999998,1330.1177169999999,1159.950264,14327.75504
API,Lung,5246.274015,5519.05469,5642.673656,5826.755634000001,5996.910548999999,6068.15547,6228.648513,6494.131120999999,6334.395930000001,6480.280113000001,6612.436676999999,66411.15243199999
White,CRC,126676.52997000002,123910.91294400001,120701.71733999999,119569.92169,117264.777519,116350.37909600002,115409.030025,111441.30784800001,106411.240819,103742.4738,103019.80293499999,1260295.5877750001
Black,CRC,24423.230328,24989.170614000002,24560.397932,24118.368833999997,24472.263698000002,24553.822556,23808.396220000002,23938.65875,22830.401252,22344.075130999998,22361.441168,261298.877017
AI,CRC,1044.005546,1116.147707,1152.295872,1201.372328,1165.307828,1145.139502,1211.114416,1287.917865,1328.921349,1321.4524549999999,1217.069027,13147.822272
API,CRC,6036.453558,5720.9713249999995,5782.343796,5913.722136,6042.000102,6301.5460649999995,6389.5955030000005,6394.476935,6419.9958750000005,6427.307795999999,6193.4668599999995,67438.12901599999
White,Breast,170849.711085,162001.174608,162355.64332399998,162681.785885,162587.973738,166559.67132,167889.76788899998,170094.627768,164900.560253,168952.02876000002,168803.53251999998,1825438.661872
Black,Breast,26423.8968,20021.904284,20880.212122,20936.629622999997,22080.837278,23542.544856,23808.396220000002,25270.89715,24687.21762,26103.690067,27248.95152,254621.733652
AI,Breast,1031.195662,1139.3317839999997,1162.584228,1240.4702439999999,1154.2447789999999,1183.438482,1258.921564,1308.62394,1337.467467,1477.427171,1524.6315970000003,13822.069567999999
API,Breast,6878.448153,6542.0989739999995,7137.1441540000005,7392.15267,7469.8359470000005,8044.195841,8658.948062,8636.696119999999,9090.714159000001,9499.702181999999,9782.034423000001,89175.800044
White,Ovarian,18463.922265,17869.505472,17750.252549999997,17625.84503,17985.395324999998,17380.139616,17736.545667,17351.607143,16956.987567000004,16055.38285,16135.631784999998,191034.278568
Black,Ovarian,2302.653864,2521.842906,2363.066678,2356.84386,2192.1408850000003,2386.615372,2421.888581,2456.31455,2363.220832,2349.759335,2378.8767199999998,25818.287677999997
AI,Ovarian,128.09884,149.040495,147.466436,135.065528,213.88561399999998,168.515512,175.292876,186.354675,179.468478,164.63997799999999,175.75004,1812.039608
API,Ovarian,764.2720170000001,753.8221039999999,740.251742,811.687352,826.641805,840.206142,901.303144,797.233488,890.2394280000001,900.5293889999999,910.80395,9071.626492
White,Prostatic,179263.65034500003,161766.049536,162592.31335799998,154821.61175,169782.131868,175973.91361200003,162787.47393,158608.35261700003,151629.87433100003,150179.58112,122382.56107699998,1743187.791933
Black,Prostatic,42806.712816,39661.711158,40249.611122,39123.608076,40096.249642,42230.956752,40638.469410000005,41549.1851,39499.548191999995,39048.727858000006,34039.563248,437130.31896199996
AI,Prostatic,1044.005546,1056.531509,1045.9828599999998,1041.426308,1154.2447789999999,1106.840522,1079.644759,1060.15104,1145.179812,961.844082,966.6252200000001,11546.484944
API,Prostatic,5777.3782980000005,5882.504633,5991.849006,5609.339379000001,5861.64189,6426.021048999999,5794.09164,5879.596973999999,5666.716359000001,5826.95487,4790.828777,63159.059916
